CASEID	SETID	CHOICE15	Alternative	FSG	FSO	TT	CHOICE01				
1204	39	4	4	1.792	2.677	0	1				
1204	39	4	5	0.084	0.809	0	0				
1204	40	1	1	0.702	0.792	12	1				
1204	40	1	2	0.456	0	0	0				
1204	40	1	3	1.792	2.677	0	0				
1204	40	1	4	0.36	0.1	0	0				
1204	40	1	5	0.388	0.252	12	0				
1205	41	4	1	0.295	0.197	15.08	0				
1205	41	4	2	0.799	0.148	17.88	0				
1205	41	4	3	1.85	1.213	15.08	0				
1205	41	4	4	1.911	0.686	18.52	1				
1205	41	4	5	0.148	3.677	17.2	0				
1206	42	2	1	0.217	0.216	0	0				
1206	42	2	2	2.274	8.347	8.01	1				
1206	42	2	3	1.617	1.259	0	0				
1206	42	2	4	0.233	1.47	0	0				
1206	42	2	5	1.816	3.919	6.09	0				
1208	43	1	1	0.908	1.905	0	1				
1208	43	1	2	0.073	1.608	0	0				
1208	43	1	3	1.399	1.189	23	0				
1208	43	1	4	0.663	1.195	26	0				
1208	43	1	5	0.233	1.47	0	0				
1209	44	3	1	0.368	3.797	5.73	0				
1209	44	3	2	0.483	0.884	5.7	0				
1209	44	3	3	1.256	3.675	5.73	1				
1209	44	3	4	1.6	3.585	5.73	0				
1209	44	3	5	1.399	1.189	8.76	0				
1210	45	5	1	0.483	0.884	5.7	0				
1210	45	5	2	0.016	4.009	0	0				
1210	45	5	3	1.172	0.726	6.6	0				
1210	45	5	4	0.508	4.824	8.31	0				
1210	45	5	5	0.974	0.572	0	1				
1215	46	1	1	0.869	0.214	0	1				
1215	46	1	2	0.56	2.1	0	0				
1215	46	1	3	1.689	6.187	0	0				
1215	46	1	4	3.375	17.328	13	0				
1215	46	1	5	0.096	1.841	22.16	0				
1221	47	3	1	1.689	6.187	0	0				
1221	47	3	2	0.869	0.214	0	0				
1221	47	3	3	3.375	17.328	13	1				
1221	47	3	4	0.096	1.841	22.16	0				
1221	47	3	5	0.635	5.147	15	0				
1221	48	5	1	0.096	1.841	22.16	0				
1221	48	5	2	0.56	2.1	0	0				
1221	48	5	3	1.689	6.187	0	0				
1221	48	5	4	3.375	17.328	13	0				
1221	48	5	5	0.869	0.214	0	1				
1223	49	4	1	0.096	1.841	15	0				
1223	49	4	2	0.468	0.728	0	0				
1223	49	4	3	3.375	17.328	10.36	0				
1223	49	4	4	0.56	2.1	18	1				
1223	49	4	5	1.689	6.187	0	0				
1225	50	1	1	3.375	17.328	0	1				
1225	50	1	2	1.394	1.528	8.36	0				
1225	50	1	3	1.689	6.187	13	0				
1225	50	1	4	0.096	1.841	21	0				
1225	50	1	5	0.635	5.147	21	0				
1226	51	1	1	3.375	17.328	10.36	1				
1226	51	1	2	0.468	0.728	0	0				
1226	51	1	3	1.394	1.528	11.52	0				
1226	51	1	4	0.096	1.841	15	0				
1226	51	1	5	1.689	6.187	13	0				
1227	52	3	1	3.4	17.619	0	0				
1227	52	3	2	0.417	0	0	0				
1227	52	3	3	4.409	19.541	0	1				
1227	52	3	4	2.701	4.208	14	0				
1227	52	3	5	0.096	1.841	15	0				
1231	53	4	1	1.506	0.632	14.36	0				
1231	53	4	2	2.677	9.375	13.08	0				
1231	53	4	3	2.199	9.42	13.08	0				
1231	53	4	4	0.036	0.276	0	1				
