ID	FSG1	FSO1	TT1	FSG2	FSO2	TT2	FSG3	FSO3	TT3	FSG4	FSO4	TT4	FSG5	FSO5	TT5	CHOICE	
1405	834	1250	0	629	779	0	1044	4743	0	1622	7598	708	1817	1498	882	1
1405	629	779	0	834	1250	0	1044	4743	0	1622	7598	708	1817	1498	882	2
1420	1184	228	740	3153	6816	1372	526	3918	1328	1730	15564	1372	1190	1597	1368	2
1420	1730	15564	1372	1184	228	740	526	3918	1328	3153	6816	1372	1190	1597	2964	1
1422	1622	7598	740	403	40	740	3708	6001	552	347	431	2100	526	3918	1328	3
1422	2473	1131	857	403	40	261	1622	7598	261	347	431	724	3708	6001	173	5
1432	1622	7598	740	629	779	1120	1044	4743	1120	575	104	2000	834	1250	1120	5
1432	834	1250	393	629	779	393	4160	19515	1290	1044	4743	393	575	104	762	3
1435	1548	12008	0	1028	4333	0	1491	690	888	2932	2181	1412	629	779	1120	2
1436	1028	4333	265	81	491	0	1491	690	0	1548	12008	265	1556	434	511	1
1449	1491	690	265	1548	12008	0	1028	4333	0	2932	2181	407	1556	434	511	3
1449	1124	2413	482	1028	4333	0	1548	12008	0	1491	690	265	2932	2181	407	1
1453	834	1250	0	629	779	0	1044	4743	0	1622	7598	708	1817	1498	882	1
1453	629	779	0	834	1250	0	1044	4743	0	1622	7598	708	1817	1498	882	2
1455	1622	7598	708	629	779	0	834	1250	0	1044	4743	0	898	56296	1109	5
1455	629	779	0	898	56296	1109	834	1250	0	1044	4743	0	1622	7598	708	2
1455	1044	4743	0	629	779	0	834	1250	0	1622	7598	708	1817	1498	882	3
1455	1817	1498	882	629	779	0	1044	4743	0	1622	7598	708	834	1250	0	5
1466	1044	4743	0	629	779	0	834	1250	0	1622	7598	708	1817	1498	882	3
1466	1817	1498	882	629	779	0	1044	4743	0	1622	7598	708	834	1250	0	5
1469	1817	1498	2996	629	779	0	1044	4743	0	1622	7598	2392	834	1250	0	5
1469	1622	7598	2392	629	779	0	1044	4743	0	834	1250	0	1817	1498	2996	4
1470	1044	4743	0	834	1250	0	629	779	0	1622	7598	2392	1817	1498	2996	3
1470	1044	4743	0	834	1250	0	629	779	0	1622	7598	2392	1817	1498	2996	3
1471	1044	4743	0	629	779	0	834	1250	0	898	56296	1109	1622	7598	708	4
1471	834	1250	0	629	779	0	898	56296	1109	1044	4743	0	1622	7598	708	3
1472	1622	7598	708	629	779	0	1044	4743	0	834	1250	0	1817	1498	882	4
1472	629	779	0	834	1250	0	1044	4743	0	1622	7598	708	1817	1498	882	2
1475	4054	2456	1466	646	194	397	2274	8347	397	1760	14651	397	1813	2566	689	1
1475	646	194	397	4054	2456	1466	2274	8347	397	1760	14651	397	1813	2566	689	2
1478	2725	3107	425	946	236	0	63	1050	651	0	5333	651	646	194	397	1
1479	0	5333	488	854	263	0	63	1050	488	2725	3107	549	3610	5189	631	4
1483	1184	228	1188	3153	6816	900	1730	15564	900	526	3918	1528	946	236	0	3
1483	1184	228	1188	3153	6816	900	1730	15564	900	526	3918	1528	1188	3200	2492	3
1483	1730	15564	900	3153	6816	900	1184	228	1188	526	3918	1528	1188	3200	2492	2
1483	1188	3200	2492	1730	15564	900	1184	228	1188	526	3918	1528	3153	6816	900	5
1487	1730	15564	290	3153	6816	290	1184	228	399	526	3918	505	1188	3200	859	2
1487	1188	3200	859	1730	15564	290	1184	228	399	526	3918	505	3153	6816	290	5
1492	2701	4208	1400	417	0	0	3400	17619	0	4409	19541	0	1668	10866	1400	4
1493	7024	12895	672	106	327	672	2469	17977	1004	2705	89841	1208	20452	83361	1208	1
1496	1239	12395	731	1504	198	0	671	1492	507	527	106	731	2477	10492	731	1
1497	671	1492	1600	106	327	672	7024	12895	672	2469	17977	1004	843	153	980	5
1497	106	327	672	7024	12895	672	2469	17977	1004	2705	89841	1208	20452	83361	1208	2
1498	1556	434	1896	2932	2181	876	1028	4333	1976	2109	1759	0	2469	17977	1004	4
1505	1817	1498	2996	629	779	0	1044	4743	0	1622	7598	2392	834	1250	0	5
1505	629	779	0	834	1250	0	1044	4743	0	1622	7598	2392	1817	1498	2996	2
1506	834	1250	0	629	779	0	1044	4743	0	1622	7598	2392	1817	1498	2996	1
1506	1817	1498	2996	629	779	0	1044	4743	0	1622	7598	2392	834	1250	0	5
1512	1314	6220	249	898	56296	0	6617	95932	0	2725	3107	976	946	236	425	4
1512	4358	16200	1109	898	56296	0	6617	95932	0	1314	6220	249	63	1050	335	1
1517	0	5333	488	854	263	0	63	1050	488	2725	3107	549	3610	5189	631	4
1518	4054	2456	0	5190	59651	0	163	1310	1264	54	1601	1264	1247	4727	1264	1
1527	5190	59651	0	4054	2456	0	163	1310	1264	54	1601	1264	1247	4727	1264	2
1529	1247	4727	1264	5190	59651	0	163	1310	1264	54	1601	1264	4054	2456	0	5
2002	280	5127	1296	1481	1372	0	177	907	0	1856	3751	1296	231	2347	2100	3
2002	1481	1372	0	177	907	0	280	5127	1296	1856	3751	1296	231	2347	2100	2
2003	803	1587	771	442	125	0	231	2347	0	2063	3878	0	177	907	618	1
2007	233	1470	0	403	40	740	1622	7598	740	347	431	2100	3708	6001	552	5
2012	889	480	268	91	401	0	1199	13735	268	4358	16200	276	60	26	0	1
2016	889	480	268	1031	7272	345	135	409	594	900	5818	874	3403	12516	345	5
2045	2001	4634	0	322	1712	0	591	423	1708	36	276	2296	1506	632	2000	1
2048	995	1513	882	329	1285	0	817	1505	747	0	281	747	413	4402	506	5
2051	110	0	2340	699	2341	0	0	30	2268	681	6536	2800	2304	8249	1900	2
2052	699	2341	0	2304	8249	1067	0	30	676	681	6536	811	2449	6044	1197	2
2053	280	5127	1296	1481	1372	0	177	907	0	1856	3751	1296	699	2341	0	3
2053	1481	1372	0	177	907	0	280	5127	1296	1856	3751	1296	231	2347	2100	2
2056	177	907	0	3210	3884	1564	1491	8362	1564	900	5818	2388	165	437	0	5
2058	3479	27106	0	4160	19515	0	2473	1131	247	1817	1498	369	1622	7598	687	3
2061	60	26	0	959	5877	0	309	2546	0	1991	10068	0	130	324	1300	2
2063	2952	4534	0	456	0	0	176	4754	0	625	577	1144	60	26	0	1
2063	2952	4534	0	435	100	0	176	4754	0	456	0	0	625	577	1144	4
2065	547	0	0	260	128	0	275	4672	0	2578	3929	0	176	4754	0	2
2067	1192	2578	0	2201	30672	0	903	735	267	1324	2309	630	260	128	0	1
2069	2109	1759	1720	3289	9748	0	3401	21946	0	2287	1420	837	570	3478	837	1
2071	350	1083	0	585	781	0	258	813	1780	3610	5189	2336	3289	9748	0	1
2073	322	1712	0	2001	4634	0	591	423	1708	36	276	2296	1506	632	2000	2
2080	60	26	0	959	5877	0	309	2546	0	1991	10068	0	3289	9748	0	2
2092	1028	4333	578	2932	2181	289	2109	1759	0	1556	434	557	678	1653	0	3
2094	578	105	692	2932	2181	0	2109	1759	876	1556	434	1332	1028	4333	1976	2
2096	1184	228	308	526	3918	0	3153	6816	405	1730	15564	405	96	1841	469	3
2105	526	3918	0	417	0	0	3400	17619	0	2701	4208	748	4409	19541	0	5
2106	1023	194	136	1556	434	0	1101	460	184	148	3677	317	3400	17619	0	2
2142	3400	17619	600	1395	527	0	0	34996	0	4409	19541	600	2701	4208	1400	4
2145	1190	1597	0	2705	89841	489	1463	2508	123	1188	3200	334	3400	17619	295	2
2147	1792	2677	0	456	0	0	702	792	1200	360	100	0	842	956	0	1
2159	2469	17977	743	1031	402	183	7024	12895	609	772	1424	519	360	100	0	3
2168	106	327	0	7024	12895	0	1309	2066	836	772	1424	668	1447	2000	0	2
2185	4054	2456	0	1223	42422	1700	5190	59651	0	163	1310	1264	646	194	0	2
2191	1265	315	0	143	65	0	1148	1063	0	442	457	0	92	2307	0	1
2199	384	551	230	1331	9861	0	45	111	230	1325	30295	337	2701	4208	0	4
2202	1911	686	434	303	180	0	1850	1213	0	295	197	0	1331	9861	0	1
